,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.765,0.734,-6.711,0.0472,0.0819,0.0,0.155,0.909,103.992,44Z9ZhIDv5WV4UYVavlMfI,208885
48,0.757,0.578,-3.886,0.0386,0.011,0.00672,0.127,0.954,102.96,3y8AEUef1AVfr0npU5UOa9,280427
49,0.666,0.78,-5.177,0.0404,0.044,0.0,0.128,0.795,90.004,7MapZTlRqFfUteNcghsTwf,190480
50,0.533,0.865,-5.14,0.0935,0.000104,0.0,0.0994,0.724,144.98,0IJLw8spth1elyZVQbiSwk,198293
51,0.603,0.801,-4.095,0.0326,0.00975,0.0,0.0443,0.863,89.998,7tg0OrYieTMcQmxIczNMqE,172813
52,0.753,0.796,-6.406,0.0576,0.0378,0.0,0.331,0.605,122.025,4orphgwPHHRsdEkfUmANSD,199263
53,0.662,0.908,-4.764,0.0449,0.0506,0.0,0.0508,0.967,149.941,4V9JDRqKjN8F2HWdlEDxvI,173693
54,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,6ECp64rv50XVz93WvxXMGF,206200
55,0.442,0.952,-2.214,0.0541,2.41e-05,0.0,0.205,0.505,130.682,40Fp6pxcS9l08kL1R50mR4,203640
56,0.625,0.925,-4.435,0.342,0.0421,0.0,0.865,0.515,172.017,6MvQ6mhfqeoxfhTydwYRRI,179773
57,0.651,0.663,-5.569,0.0281,0.228,0.0,0.0994,0.465,102.0,4llK75pXNWZz6KAho2Gp16,259453
58,0.397,0.903,-4.577,0.0457,0.00575,1.6e-06,0.362,0.556,151.551,2md2i5QvelRFnafpnd6LOg,201373
59,0.63,0.798,-5.075,0.0559,0.0348,0.0,0.0557,0.788,145.977,4c0Arzex2NVpiCePeB5rf5,198200
60,0.532,0.73,-5.671,0.0414,0.0464,0.0,0.0323,0.558,79.989,16tn9LlieVLhbCmL2x2TRe,251693
61,0.748,0.529,-6.641,0.0323,0.053,0.0,0.338,0.317,97.017,7BMFfYoeXMXMX2mVCy2NVz,239440
62,0.608,0.768,-5.227,0.0475,0.0913,0.0,0.0629,0.809,88.059,5qII2n90lVdPDcgXEEVHNy,244880
63,0.64,0.884,-2.609,0.0428,0.0226,0.0,0.187,0.573,124.968,36UVZPoK8a1Oxh13cY8kOp,244000
64,0.641,0.446,-8.369,0.0391,0.231,8.68e-05,0.106,0.15,88.04,6QU5K23dgQ6kOca5INWOVB,295000
65,0.691,0.795,-5.38,0.0439,0.0715,0.0,0.0932,0.64,146.144,1ShkiUGko94e4BW5fEnxxw,181573
66,0.667,0.921,-5.223,0.0909,0.123,6.66e-06,0.982,0.378,120.04,47GAwoC7QtBMVqrixfLVUo,261227
67,0.557,0.819,-5.985,0.0983,0.15,0.0,0.185,0.721,163.986,6b9NzxGrLgueouFOAr5Jw3,270747
68,0.603,0.941,-3.47,0.114,0.103,0.0,0.297,0.545,101.07,6fXuRqgX4geG1gtAoOT877,202040
69,0.642,0.834,-6.517,0.0615,0.0462,0.0,0.201,0.54,112.344,4bvqIVboftRLtgT8WBOXCI,145067
70,0.718,0.576,-5.244,0.0342,0.333,3.15e-06,0.0965,0.361,121.699,39gJMnnXw8x2Im44B8BM3P,328693
71,0.774,0.604,-9.445,0.131,0.227,0.00268,0.0646,0.78,173.998,4PPgUdOaHiGBEswMhwSziB,246213
72,0.443,0.882,-3.073,0.0436,9.02e-05,0.0,0.117,0.566,154.958,4hl7E001mWXj2EtxzQo6Lj,201627
73,0.793,0.489,-9.254,0.0358,0.0831,0.000444,0.111,0.793,136.009,1hbbMyfgxjcFrW2v4ll8uQ,175107
74,0.323,0.936,-4.505,0.108,0.00656,0.0,0.0972,0.326,163.124,3tZwKujD64Ad6vlDVxZOrg,251533
75,0.704,0.81,-4.874,0.0425,0.000315,0.0,0.216,0.726,102.98,6KBYk8OFtod7brGuZ3Y67q,216200
76,0.674,0.632,-6.468,0.066,0.0311,0.000235,0.0778,0.905,151.989,5kiD3qnsuhV2YwH4bq93Yc,191693
77,0.609,0.81,-4.207,0.0296,0.11,0.0,0.246,0.47,117.364,4ucLHLiSjvkCz5Lr5dlVUj,196707
78,0.456,0.873,-3.545,0.0365,0.00651,0.0,0.104,0.759,188.063,6206Kvrl6LTMvDomHgEDMH,198280
79,0.803,0.851,-2.429,0.0357,0.00485,0.000358,0.0577,0.881,113.996,1lHXlGlve5Zx8tXLhyjDwM,211080
80,0.632,0.949,-2.671,0.0593,0.0302,0.0,0.0871,0.969,164.118,1zqllQUMCgMaInr0CzFVll,201307
81,0.737,0.615,-3.76,0.0317,0.0149,0.0,0.102,0.41,110.023,0tuyEYTaqLxE41yGHSsXjy,231173
82,0.718,0.82,-3.453,0.0323,0.0444,0.0,0.0846,0.613,92.998,4XNrMwGx1SqP01sqkGTDmo,219467
83,0.574,0.957,-2.761,0.109,0.0218,0.0,0.299,0.66,101.013,71o4RblgefcGHIf1MbvJzZ,157173
84,0.739,0.756,-4.828,0.0394,0.0136,0.0,0.37,0.523,110.028,4P0osvTXoSYZZC2n8IFH3c,231387
85,0.319,0.732,-4.475,0.0436,0.0134,0.0,0.658,0.2,80.195,4dZhQj20JbKlD9oR0X8kjZ,234427
86,0.662,0.67,-5.504,0.027,0.0022,0.0,0.203,0.352,119.977,3cvNxYnBgh6ystYLC6NQTT,225400
87,0.796,0.836,-4.19,0.0322,0.0163,2.72e-06,0.106,0.973,120.026,24QIrV8FsMKIPCjwmDkEyw,209013
88,0.684,0.864,-4.05,0.0472,0.000877,0.0,0.0774,0.894,124.95,7B0un3gd0aBlXbbItaoYxI,211427
89,0.675,0.79,-6.295,0.0369,0.129,0.0,0.121,0.423,120.015,12tUCBq7V9qCF8qGOLpcnu,229827
90,0.781,0.259,-9.204,0.0323,0.795,0.0,0.0993,0.331,111.9,2EUxbBRKE07EOWW8mBkg5q,194253
91,0.662,0.578,-2.637,0.0343,0.002,2.45e-06,0.104,0.404,168.04,62FOsBpnZXEoPc1Qo9hcap,255267
92,0.687,0.273,-9.259,0.0302,0.919,0.0,0.0978,0.539,110.45,0ToTl9sLEljoOkHjJlLzHq,203933
93,0.567,0.821,-5.894,0.0371,0.418,0.0,0.108,0.895,150.106,7LF0YY1gON8rBECsyEs0Wb,132307
94,0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032,2FtGF9wKcbAXsXlB2WTmxM,189960
95,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,5s8TNhF23nv2Pumf0JTe2i,231013
96,0.443,0.918,-4.573,0.206,0.000195,0.0,0.12,0.589,150.067,5eSDmVaQL0IU9VCJ1boWZ1,243893
